place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Abbotsford	Abbotsford	Walter Scotts herregård ved Tweed i Skotland.	1849	1849	5	De to Baronesser	413	1	v5:413 (1849)	medium	located+place-type	
Absalon	Absalon	(ca. 1128-1201), statsmand og ærkebiskop, omdannede i 1162 familiens benediktinerkloster i Sorø til en cistercienserstiftelse og begunstigede klosteret af både sit privatgods og sit embedsgods.	1872	1872	3	Kometen	256	1	v3:256 (1872)	medium	located+place-type	
Abydos	Abydos	antikke græske byer på hhv. den asiatiske og den europæiske side af Dardanellerne.	1842	1842	14	En Digters Bazar	448	1	v14:448 (1842)	high	head-noun+place-type+split-ellipsis	
Achilles	Achilles	på sletten ved Troja findes flere gravhøje, som er blevet dyrket som høje for heltene fra den trojanske krig og især den dygtigste græske kriger, Achilleus.	1842	1842	14	En Digters Bazar	444	1	v14:444 (1842)	medium	located+place-type+split-ellipsis	
Acropolis	Acropolis	ruinerne af Athens højtbeliggende borg- og tempelområde.	1846	1846	16	Mit eget Eventyr uden Digtning	258	1	v16:258 (1846)	high	in-register+head-noun+place-type	geo-265409
Agamemnons Grav	Agamemnons Grav	græsk sagnkonge i Mykene (se kort) på det nordøstlige Peloponnes, søn af Atreus; leder af togtet mod Troja. Efter hjemkomsten fra Troja blev han myrdet af sin hustru Klytaimnestra som hævn, fordi han under togtet havde ofret datteren Ifigenia for at få gunstig vind. Atreus’ skatkammer i Mykene, der er en såkaldt kuppelgrav fra 1300-1250 f.Kr., kaldes også Agamemnons grav.	1842	1842	14	En Digters Bazar	376	1	v14:376 (1842)	high	se-kort	
Akropolis	Akropolis	ruinerne af en befæstet by og religiøst centrum i Athen. Jf. Hackländer: »man könnte sagen, sie ist die Akropolis von Granada« (2 s. 254).	1863	1863	15	I Spanien	294	1	v15:294 (1863)	high	head-noun+located+place-type	
Alameda	Alameda	hovedgaden.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	257	1	v18:257 (1869)	high	head-noun+place-type	
Albanerbjergene	Albanerbjergene	30 km sydøst for Rom; se kort.	1870	1870	15	Breve fra og til Hans Christian Ørsted, 2. Samling	491	1	v15:491 (1870)	high	se-kort	
Albano	Albano	(Albano-Laziale) ved Lago Albano; se kort.	1842	1842	14	En Digters Bazar	337	1	v14:337 (1842)	high	se-kort	
Alcázar de San Juan	Alcazar de San Juan	Alcázar de San Juan, se kort.	1863	1863	15	I Spanien	379	1	v15:379 (1863)	high	se-kort	
