place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
1284 … plyndret af Nordmændene	1284 … plyndret af Nordmændene	kilden er ikke fundet.	1860	1860	15	Folkekalender for Danmark	189	1	v15:189 (1860)	high	head-noun+place-type	
18de Februar 1862	18de Februar 1862	H.C. Andersen skulle ifølge dagbogen have været i Det Kgl. Teater og se Den Stumme i Portici, J.L. Heibergs opsætning af D.F.E. Aubers La muette de Portici, 1828, med koreografi af Bournonville; stykket blev dog aflyst på grund af sygdom.			8	(untitled)	334	1	v8:334 ()	medium	located	
Abbotsford	Abbotsford	Walter Scotts herregård ved Tweed i Skotland.	1849	1849	5	De to Baronesser	413	1	v5:413 (1849)	medium	located+place-type	
Absalon	Absalon	(ca. 1128-1201), statsmand og ærkebiskop, omdannede i 1162 familiens benediktinerkloster i Sorø til en cistercienserstiftelse og begunstigede klosteret af både sit privatgods og sit embedsgods.	1872	1872	3	Kometen	256	1	v3:256 (1872)	medium	located+place-type	
Abydos … Sestos	Abydos … Sestos	antikke græske byer på hhv. den asiatiske og den europæiske side af Dardanellerne.	1842	1842	14	En Digters Bazar	448	1	v14:448 (1842)	high	head-noun+place-type	
Acropolis	Acropolis	ruinerne af Athens højtbeliggende borg- og tempelområde.	1846	1846	16	Mit eget Eventyr uden Digtning	258	1	v16:258 (1846)	high	in-register+head-noun+place-type	geo-265409
Adam Knuth	Adam Knuth	Adam Knuth, brodersøn til Marie Elisabeth Moltke fra Bregentved, hvorfra H.C. Andersen kendte ham (jf. Almanakken 31. december 1846); Adam Knuth meldte sig 1848 som frivillig og blev samme år sekondløjtnant; i slaget ved Fredericia 6. juli 1849 blev han hårdt såret og invalideret.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	75	1	v18:75 (1869)	medium	located	
Adolf von Brockhausen	Baron Brockhausen	Adolf von Brockhausen, preussisk gesandt i Napoli; H.C. Andersen inviteredes til middag hos Adolf von Brockhausen 11. maj 1846.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	331	1	v17:331 (1855)	medium	located	
af de kongelige Palaier paa Amalienborg	af de kongelige Palaier paa Amalienborg	P.F. Wulff blev 1824 chef for søkademiet, der 1788-1827 havde til huse i Brockdorffs Palæ (Frederik 8.s Palæ) på Amalienborg, hvor familien fik embedsbolig.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	74	1	v17:74 (1855)	medium	located	
Agamemnons Grav	Agamemnons Grav	græsk sagnkonge i Mykene (se kort) på det nordøstlige Peloponnes, søn af Atreus; leder af togtet mod Troja. Efter hjemkomsten fra Troja blev han myrdet af sin hustru Klytaimnestra som hævn, fordi han under togtet havde ofret datteren Ifigenia for at få gunstig vind. Atreus’ skatkammer i Mykene, der er en såkaldt kuppelgrav fra 1300-1250 f.Kr., kaldes også Agamemnons grav.	1842	1842	14	En Digters Bazar	376	1	v14:376 (1842)	high	se-kort	
Akropolis	Akropolis	ruinerne af en befæstet by og religiøst centrum i Athen. Jf. Hackländer: »man könnte sagen, sie ist die Akropolis von Granada« (2 s. 254).	1863	1863	15	I Spanien	294	1	v15:294 (1863)	high	head-noun+located+place-type	
Alameda	Alameda	hovedgaden.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	257	1	v18:257 (1869)	high	head-noun+place-type	
Albanerbjergene	Albanerbjergene	30 km sydøst for Rom; se kort.	1870	1870	15	Breve fra og til Hans Christian Ørsted, 2. Samling	491	1	v15:491 (1870)	high	se-kort	
Albano	Albano	(Albano-Laziale) ved Lago Albano; se kort.	1842	1842	14	En Digters Bazar	337	1	v14:337 (1842)	high	se-kort	
Alcázar de San Juan	Alcazar de San Juan	Alcázar de San Juan, se kort.	1863	1863	15	I Spanien	379	1	v15:379 (1863)	high	se-kort	
Alexisbad	Alexisbad	kurbadested i Selke-dalen, grundlagt 1810.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	125	1	v14:125 (1831)	high	in-register+place-type	geo-2958541
Algeciras	Algeciras	se kort.	1863	1863	15	I Spanien	256	1	v15:256 (1863)	high	se-kort	
Alhama de Granada	Alhama	Alhama de Granada, se kort.	1863	1863	15	I Spanien	290	1	v15:290 (1863)	high	se-kort	
Alhambra	Alhambra | Alhambra(s)	slot i Granada. ¶ Maurerkongernes slot uden for Granada i Spanien. ¶ maurerkongernes slot uden for Granada; det omtalte besøg fandt sted den 7.	1837	1837 1853 1869	2 5 18	Kun en Spillemand	219	3	v5:219 (1837); v2:72 (1853); v18:257 (1869)	high	head-noun+located+place-type	
alle Troesbekjendelserne	alle Troesbekjendelserne	den danske kirke har tre formuleringer af kirkens tro, kaldet den apostolske, den nikænokonstantinopolitanske og den athanasianske trosbekendelse.	1857	1857	6	»At være eller ikke være«	118	1	v6:118 (1857)	high	head-noun+place-type	
Alleenberg	Alleenberg	forlystelseshave på Frederiksberg Allé 1841-1923.	1863	1863	15	I Spanien	309	1	v15:309 (1863)	medium	located+place-type	
allerede som lille Barn optraadt paa Scenen	allerede som lille Barn optraadt paa Scenen	Weissenthurn blev i 1789 15 (el. 16) år gammel ansat ved Burgtheater.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	164	1	v17:164 (1855)	medium	located	
Almadén	Almaden	Almadén, se kort.	1863	1863	15	I Spanien	275	1	v15:275 (1863)	high	se-kort	
Almansa og Alicante	Almansa og Alicante	se kort. H.C. Andersen gjorde ophold i Almansa og ankom til Alicante 20. september, hvor han opholdt sig til 23 september 1862.	1863	1863	15	I Spanien	250	1	v15:250 (1863)	high	se-kort	
Almería	Almeria	Almería, se kort.	1863	1863	15	I Spanien	286	1	v15:286 (1863)	high	se-kort	
Alster	Alster(en) | Alsteren	53 km lang biflod til Elben. Opdæmmes i Hamburg til de to kunstige søer Außen-Alster og Binnen-Alster. ¶ biflod til Elben, der opdæmmes i to kunstige søer i Hamburg, Außen-Alster og Binnen-Alster. ¶ Alster, biflod til Elben, der løber igennem Hamburg (og som er omdannet til søerne Binnen-Alster og Außen-Alster).	1831	1831 1842 1855	14 17	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	74	3	v14:74 (1831); v14:578 (1842); v17:249 (1855)	high	in-register+located+place-type+head-noun	geo-2958108
Altdorf	Altorf	Altdorf, by ved enden af Vierwaldstättersees østlige gren; se kort.	1861	1861	15	Illustreret Tidende	209	1	v15:209 (1861)	high	se-kort+place-type	
