place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Caribien	Karaiber-Pigen(s)	Caribien, øerne mellem Nord- og Sydamerika, omfatter Store og Små Antiller samt Bahamaøerne.			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	348	1	v12:348 ()	medium	located+place-type	
Carthagenienser	Carthagenienser	Karthago var en stor handelsby på Afrikas nordkyst i oldtiden; førte i 3.-2. årh. f.Kr. de såkaldte puniske krige mod Rom. Karthago blev tilintetgjort 146 f.Kr.			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	275	1	v12:275 ()	medium	located+place-type	
Carthaginienser	Carthaginienser	Karthago var en stor handelsby på Afrikas nordkyst i oldtiden; førte i 3.-2. årh. f.Kr., de såkaldte puniske krige mod Rom. Karthago blev tilintetgjort 146 f.Kr.			12	Fragmenter af »Ahasverus«	46	1	v12:46 ()	medium	located+place-type	
Codans Bølge	Codans Bølge	Østersøen eller havene omkring Danmark i almindelighed; formentlig en hentydning til B.S. Ingemanns fædrelandssang »Vift stolt paa Kodans Bølge«, 1815.	1846	1846	12	Hr. Rasmussen	208	1	v12:208 (1846)	medium	located	
Colosseum	Colosseum	romersk amfiteater, indviet 80 e.Kr.			12	Fragmenter af »Ahasverus«	46	2	v12:46 (); v12:275 ()	high	in-register	geo-6269248
Condition	Condition	plads.	1849	1849	12	Meer end Perler og Guld	472	1	v12:472 (1849)	high	head-noun+place-type	
Ditlev Brockdorff	Ditlev Brokdorp	Ditlev Brockdorff, amtmand 1519-1523 på Flensborghus, som han forsvarede mod Frederik 1.	1844	1844	12	KongenKongen er Christian 2. (1481-1559), konge i Danmark-Norge 1513-1523, i Sverige 1520-1523. Som barn var han en overgang i huset hos den borgerlige rådmand Hans Bogbinder, hvis sønner, bl.a. borgmester i København Ambrosius Bogbinder, var aktive i gennemførelsen af reformationen, som Christian knyttede sig til. 1506-1512 styrede Christian Norge på faderen, kong Hans’, vegne med en hårdhed, der gjorde adelen til hans modstandere, både i Norge og Danmark, men han blev dog valgt som konge i begge lande 1513. Den adelige ærkebiskop Erik Valkendorf kronede 1514 Christian til norsk konge i Oslo; senere faldt Valkendorf i unåde hos kongen, da dennes elskerinde Dyveke i 1517 pludselig døde, idet Valkendorf, som påstået af Dyvekes mor Sigbrit Villoms, formodedes at være medskyldig i datterens død. Sigbrit stammede fra Amsterdam og var med Dyveke flyttet til Bergen, hvor Christian 2. trådte i forbindelse med mor og datter 1507 eller 1509. Sigbrit fulgte med Christian til København og bevarede sin rolle som vigtig finansrådgiver. Frem for kongens og Valkendorfs planer om at genfinde Grønland og Vinland og vinde opdagerhæder virkede hun for økonomiske reformer efter hollandsk mønster, bl. a. bedre metoder i landbruget (hollænderne på Amager). Hun bevarede denne indflydelse også efter datterens død 1517. Den berygtede godsejer Torben Oxe, befalingsmand på Københavns Slot, efterstræbte Dyveke – slotsskriveren Hans Faaborg og andre angav ham. Ved Dyvekes død udbredtes det rygte, at Oxe havde forgivet hende med forgiftede kirsebær, og han blev henrettet. Den virkelige årsag til Dyvekes død kendes ikke, men hendes (borgerlige) mor var stærkt hadet af de ledende adelskredse, heriblandt søhelten Søren Nordby.<br>Tiden var i religiøst røre og Christian var ikke upåvirket deraf. Men at den katolske munk står bag giftmordet i et forsøg på at bremse indflydelsen ved hoffet fra den spirende reformation er H.C. Andersens tildigtning. Forbilledet er antagelig pater Anton, en person i O.J. Samsøes sørgespil <i>Dyveke</i>, 1796, der optræder som giftmorder uden hjemmel i Samsøes kilde, Arild Hvidtfeldt. Stykket opførtes med succes både i 1796 og i 1834.<br>Christian, som i 1515 var blevet gift med den tyske kejser Karl 5.s søster Elisabeth, regnedes til Europas betydeligste fyrster og søgte med mange midler at sikre sig de nordiske lande som arve- og enevoldsriger. Han søgte at knække modstanden, i Sverige ved det stockholmske blodbad (8. november 1520), men det blev begyndelsen til enden. Trods store og fremsynede lovgivningsarbejder fik han i alle sine tre lande befolkningen mod sig. Der rejste sig opstand i Sverige, ledet af rigsforstanderen Gustav 1. Vasa. 1522 udbrød en åben krig med hansestæderne, og i selve Danmark var der utilfredshed med krigspolitiken. Ved et forlig i Bordesholm nær Kiel i august 1522 måtte han gøre store indrømmelser til sin farbror Frederik, hertugen af Gottorp, hvad der ramte ham hårdt. Da oprøret brød ud i Nørrejylland, mistede han helt modet. Om bord på orlogsskibet »Løven« flygtede han og hans familie 13. april 1523 med en flåde til Nederlandene. Under falske forudsætninger rejste Christian fra udlandet til Danmark og blev 1532 fængslet og indsat i Sønderborg Slot, if. ældre historikere kun i selskab med sin dværg. Siden skærpedes fængslet if. overleveringen yderligere, og han fik alene selskab af en gammel soldat. Senere tids historieforskning har dog vist, at fangenskabet var mildt, jf. Inge Adriansen »Myten om det runde Bord« i <i>Skalk</i> 1993, nr. 5.<br>Da Christian blev frataget magten, blev hertug Frederik af Gottorp, konge i Danmark-Norge som Frederik 1. Ved dennes død 1533 udbrød der borgerkrig (»Grevens Fejde« 1533-1536). Mange interesser, religiøse (for og mod Lutherdommen), handelsmæssige og magtpolitiske, var bragt i spil. De nævnte aktører, Lübecks borgmester Jørgen Wullenweber, en lybsk militær eventyrer, Markus Meier, og den jyske fribytter skipper Clement virkede alle for borgerskabets og den fængslede konges sag. Grev Christoffer af Oldenburg kæmpede for sin slægtning Christian 2. Han var luthersk sindet og var leder af Københavns forsvar til erobringen 1536. Paradoksalt faldt den lutherske by for reformatoriske angribere – så modsætningerne var ikke så enkle endda. Allerede under Frederik havde de lutherske kredse nydt en vis beskyttelse. Ved hjælp af bl.a. feltherren Johan Rantzau overtog hans søn magten som Christian 3., og efter Københavns erobring 1536 kunne den nye konge indføre en luthersk kirkeordning.<br>I 1546 kom det til et forlig mellem de to fætre Christian 2. og Christian 3., hvorved Christian 2. opgav ethvert krav på rigerne mod at få indtægterne fra Kalundborg Slot. I 1549 udfriedes Christian 2. fra fangenskabet og sejlede til Assens, hvor han mødtes med Christian 3. Sammen drog de til Kalundborg, hvor Christian 2. fik bolig på slottet. Her døde han 1559.Kongen drømmer	38	1	v12:38 (1844)	medium	located	
Euphrat	Euphrat	floden Eufrat udsprang if. 1. Mosebog 2, 1014 i Edens have, som Adam og Eva efter syndefaldet blev uddrevet af (1. Mosebog 3,16-24); jf. evt. også 2. Krønikebog 35,20-25.			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	270	1	v12:270 ()	high	head-noun+place-type	
Gehenna	Gehenna	navn på en klippedal syd for Jerusalem; den betragtedes som et urent sted og de usaliges pinested efter døden. 			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	316	1	v12:316 ()	medium	located+place-type	
Hierarchie	Hierarchie(ts)	pavekirken (teknisk betegnelse).			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	323	1	v12:323 ()	high	head-noun+place-type	
