place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
1284 … plyndret af Nordmændene	1284 … plyndret af Nordmændene	kilden er ikke fundet.	1860	1860	15	Folkekalender for Danmark	189	1	v15:189 (1860)	high	head-noun+place-type	
Acropolis	Acropolis	ruinerne af Athens højtbeliggende borg- og tempelområde.	1846	1846	16	Mit eget Eventyr uden Digtning	258	1	v16:258 (1846)	high	in-register+head-noun+place-type	geo-265409
Adam Knuth	Adam Knuth	Adam Knuth, brodersøn til Marie Elisabeth Moltke fra Bregentved, hvorfra H.C. Andersen kendte ham (jf. Almanakken 31. december 1846); Adam Knuth meldte sig 1848 som frivillig og blev samme år sekondløjtnant; i slaget ved Fredericia 6. juli 1849 blev han hårdt såret og invalideret.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	75	1	v18:75 (1869)	medium	located	
Adolf von Brockhausen	Baron Brockhausen	Adolf von Brockhausen, preussisk gesandt i Napoli; H.C. Andersen inviteredes til middag hos Adolf von Brockhausen 11. maj 1846.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	331	1	v17:331 (1855)	medium	located	
af de kongelige Palaier paa Amalienborg	af de kongelige Palaier paa Amalienborg	P.F. Wulff blev 1824 chef for søkademiet, der 1788-1827 havde til huse i Brockdorffs Palæ (Frederik 8.s Palæ) på Amalienborg, hvor familien fik embedsbolig.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	74	1	v17:74 (1855)	medium	located	
Akropolis	Akropolis	ruinerne af en befæstet by og religiøst centrum i Athen. Jf. Hackländer: »man könnte sagen, sie ist die Akropolis von Granada« (2 s. 254).	1863	1863	15	I Spanien	294	1	v15:294 (1863)	high	head-noun+located+place-type	
Alameda	Alameda	hovedgaden.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	257	1	v18:257 (1869)	high	head-noun+place-type	
Albanerbjergene	Albanerbjergene	30 km sydøst for Rom; se kort.	1870	1870	15	Breve fra og til Hans Christian Ørsted, 2. Samling	491	1	v15:491 (1870)	high	se-kort	
Alcázar de San Juan	Alcazar de San Juan	Alcázar de San Juan, se kort.	1863	1863	15	I Spanien	379	1	v15:379 (1863)	high	se-kort	
Algeciras	Algeciras	se kort.	1863	1863	15	I Spanien	256	1	v15:256 (1863)	high	se-kort	
Alhama de Granada	Alhama	Alhama de Granada, se kort.	1863	1863	15	I Spanien	290	1	v15:290 (1863)	high	se-kort	
Alhambra	Alhambra	maurerkongernes slot uden for Granada; det omtalte besøg fandt sted den 7.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	257	1	v18:257 (1869)	medium	located+place-type	
Alleenberg	Alleenberg	forlystelseshave på Frederiksberg Allé 1841-1923.	1863	1863	15	I Spanien	309	1	v15:309 (1863)	medium	located+place-type	
allerede som lille Barn optraadt paa Scenen	allerede som lille Barn optraadt paa Scenen	Weissenthurn blev i 1789 15 (el. 16) år gammel ansat ved Burgtheater.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	164	1	v17:164 (1855)	medium	located	
Almadén	Almaden	Almadén, se kort.	1863	1863	15	I Spanien	275	1	v15:275 (1863)	high	se-kort	
Almansa og Alicante	Almansa og Alicante	se kort. H.C. Andersen gjorde ophold i Almansa og ankom til Alicante 20. september, hvor han opholdt sig til 23 september 1862.	1863	1863	15	I Spanien	250	1	v15:250 (1863)	high	se-kort	
Almería	Almeria	Almería, se kort.	1863	1863	15	I Spanien	286	1	v15:286 (1863)	high	se-kort	
Alster	Alsteren	Alster, biflod til Elben, der løber igennem Hamburg (og som er omdannet til søerne Binnen-Alster og Außen-Alster).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	249	1	v17:249 (1855)	medium	located+place-type	geo-2958108
Altdorf	Altorf	Altdorf, by ved enden af Vierwaldstättersees østlige gren; se kort.	1861	1861	15	Illustreret Tidende	209	1	v15:209 (1861)	high	se-kort+place-type	
Amalfi	Amalfi	kystby i Salernobugten 25 km vest for Salerno.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	153	1	v17:153 (1855)	high	in-register+head-noun+located+place-type	geo-3183130
Amrom	Amrom	øen Amrum vest for Föhr.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	287	1	v17:287 (1855)	high	head-noun+place-type	
Andújar	Andujar	Andújar, se kort.	1863	1863	15	I Spanien	376	1	v15:376 (1863)	high	se-kort	
anmeldte under Mærket y–	anmeldte under Mærket y–	H.C Andersens anmeldelse af H.C. Ørsteds foredrag i Selskabet for Naturlærens Udbredelse er trykt uden titel under mærket »« i Kjøbenhavns-Posten, nr. 108, 20. april 1839 (se denne udgaves bd. 9, s. 484-485).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	83	1	v17:83 (1855)	medium	located	
Anna Barbara Jensenius	Præste-Enke	Anna Barbara Jensenius, f. Petersen, enke efter sognepræst til Vejlby ved Middelfart Johan Jürgen Jensenius. Hun boede i stiftelsen Eilschous Boliger i Munkemøllestræde skråt overfor H.C. Andersens barndomshjem.	1846	1846	16	Mit eget Eventyr uden Digtning	189	1	v16:189 (1846)	medium	located+place-type	
Antvorskov Kloster	Antvorskou-Slot	Antvorskov Kloster, 1 km syd for Slagelse, blev nedrevet 1816.	1846	1846	16	Mit eget Eventyr uden Digtning	213	1	v16:213 (1846)	medium	located+place-type	
Aranjuez	Aranjuez | Aranjues	se kort. ¶ Aranjuez, spansk by ca. 40 km syd for Madrid, kendt for sit kongelige slot med det smukke haveanlæg, bygget 1561-1567 under Filip 2.	1863	1863 1869	15 18	I Spanien	379	2	v15:379 (1863); v18:263 (1869)	high	se-kort+located+place-type	
Archipel	Archipel	øhav, oprindeligt brugt om Ægæerhavet.	1851	1851	15	I Sverrig	53	1	v15:53 (1851)	high	head-noun+place-type	
Archipelagus	Archipelagus	øhav.	1846	1846	16	Mit eget Eventyr uden Digtning	244	2	v16:244 (1846); v16:292 (1846)	high	head-noun+place-type	
Arenz	Arenz	Henr. Ahrenz var søn af en købmand i Hamburg, 1839 gift med en kusine til brødrene O’Neill.	1868	1868	15	Et Besøg i Portugal 1866	456	1	v15:456 (1868)	medium	located	
Ariccia	Ariccia	by 11 km syd for Grottaferrata.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	138	1	v17:138 (1855)	high	head-noun+located+place-type	
Arthur Richard Wellesley	den nuværende Hertug af Wellington	Arthur Richard Wellesley, søn af sejrherren ved Waterloo, Arthur Wellesley, hertug af Wellington; ved faderens død 1852 arvede Arthur Richard Wellesley hertugtitlen.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	39	1	v18:39 (1869)	medium	located	
Asmildkloster	Asmildkloster	herregård ved Viborg. Oprindelig et kloster for nonner af Augustinerordenen beliggende i Asmild Kirkes nordfløj. Efter reformationen blev klostret omdannet til herregård.	1832	1832	16	Levnedsbog	159	1	v16:159 (1832)	high	head-noun+located+place-type	
Asturien	Asturien	region i Nordvestspanien.	1863	1863	15	I Spanien	301	1	v15:301 (1863)	high	head-noun+located+place-type	
Atlasbjerge	Atlasbjerge	bjergkæde, der strækker sig fra Sydvest-Marokko til Nordøst-Tunesien.	1863	1863	15	I Spanien	336	1	v15:336 (1863)	high	head-noun+located+place-type	
