place	year	years	work	page	occurrences	variants	confidence	evidence	geo_id
1284 … plyndret af Nordmændene	1860	1860	Folkekalender for Danmark	189	1		high	head-noun+place-type	
Akropolis	1863	1863	I Spanien	294	1		high	head-noun+located+place-type	
Albanerbjergene	1870	1870	Breve fra og til Hans Christian Ørsted, 2. Samling	491	1		high	se-kort	
Alcázar de San Juan	1863	1863	I Spanien	379	1	Alcazar de San Juan	high	se-kort	
Algeciras	1863	1863	I Spanien	256	1		high	se-kort	
Alhama de Granada	1863	1863	I Spanien	290	1	Alhama	high	se-kort	
Alleenberg	1863	1863	I Spanien	309	1		medium	located+place-type	
Almadén	1863	1863	I Spanien	275	1	Almaden	high	se-kort	
Almansa og Alicante	1863	1863	I Spanien	250	1		high	se-kort	
Almería	1863	1863	I Spanien	286	1	Almeria	high	se-kort	
Altdorf	1861	1861	Illustreret Tidende	209	1	Altorf	high	se-kort+place-type	
Andújar	1863	1863	I Spanien	376	1	Andujar	high	se-kort	
Aranjuez	1863	1863	I Spanien	379	1		high	se-kort	
Archipel	1851	1851	I Sverrig	53	1		high	head-noun+place-type	
Arenz	1868	1868	Et Besøg i Portugal 1866	456	1		medium	located	
Asturien	1863	1863	I Spanien	301	1		high	head-noun+located+place-type	
Atlasbjerge	1863	1863	I Spanien	336	1		high	head-noun+located+place-type	
Aveiro	1868	1868	Et Besøg i Portugal 1866	461	1		high	se-kort+place-type	
Avesta	1851	1851	I Sverrig	118	1		high	se-kort	
Bailen	1863	1863	I Spanien	376	1	Baylen	high	se-kort	
Balle-Kirke	1854	1854	Folkekalender for Danmark	139	1		medium	located+place-type	
Barbarer	1863	1863	I Spanien	332	1		medium	located	
Barcelona	1863	1863	I Spanien	226	1		high	se-kort	
Barkedalen	1851	1851	I Sverrig	86	1		high	head-noun+place-type	
Barnaby Rudge	1860	1860	Berlingske politiske Avertissements-Tidende	166	1		high	head-noun+place-type	
Bascara	1863	1863	I Spanien	224	1		high	se-kort	
Bayonne	1863	1863 1868	I Spanien	350	2	Bajonne	medium	located+place-type	
Behobie	1863	1863	I Spanien	412	1		high	head-noun+located+place-type	
Benavente	1868	1868	Et Besøg i Portugal 1866	461	1		high	se-kort	
Bergsäng	1851	1851	I Sverrig	96	1		high	se-kort	
Biarrits	1868	1868	Et Besøg i Portugal 1866	422	1		high	head-noun+located+place-type	
Biarritz	1863	1863	I Spanien	407	1	Biarrits	medium	located+place-type	
Bilbao	1863	1863	I Spanien	408	1		high	se-kort	
Bjergene	1863	1863	I Spanien	384	1		high	se-kort	
Bloksbjerg	1868	1868	Et Besøg i Portugal 1866	468	1	Brocken	high	in-register+head-noun+located+place-type	place-000023
Blomberg	1851	1851	I Sverrig	25	1		high	head-noun+place-type	
Bodensee	1858	1858	Fortællinger og Vers for Større og Mindre	153	1	Bodensøe	high	se-kort	
Bohus	1851	1851	I Sverrig	71	1		high	se-kort	
Bordeaux	1868	1868	Et Besøg i Portugal 1866	421	1		high	head-noun+place-type	
Bosporusstrædet	1851	1851	I Sverrig	61	1	Bosporus	high	in-register+located+place-type	
Brudeskare … forsvunden	1860	1860	Folkekalender for Danmark	195	1		high	head-noun+place-type	
Brunnbäcks Färja	1851	1851	I Sverrig	95	1	Brunbäck Færge	high	se-kort+located	
Bråviken	1851	1851	I Sverrig	53	1	Braavigen	high	se-kort	
Bålstad	1851	1851	I Sverrig	117	1		high	se-kort	
Calais til Dover	1860	1860	Berlingske politiske Avertissements-Tidende	160	1		medium	located+place-type	
Cap Finisterre	1868	1868	Et Besøg i Portugal 1866	477	1		high	se-kort	
Carrara	1870	1870	Breve fra og til Hans Christian Ørsted, 2. Samling	490	1		high	se-kort	
Cartagena	1863	1863	I Spanien	256	1		high	se-kort	
Cartuja	1863	1863	I Spanien	297	1		high	head-noun+place-type	
Casa de Pilatos	1863	1863	I Spanien	362	1	Pilati Huus … Jerusalem	high	se-kort+place-type	
Castel	1868	1868	Et Besøg i Portugal 1866	456	1		high	head-noun+place-type	
Castellet	1863	1863	I Spanien	343	1		high	head-noun+place-type	
Castelo de Palmela	1868	1868	Et Besøg i Portugal 1866	431	2	Palmella	high	se-kort+place-type	
Ceuta	1863	1863	I Spanien	328	1		high	se-kort+place-type	
Chaux de Fonds	1869	1869	For Romantik og Historie	484	1		high	se-kort+place-type	
Civita Vecchia	1861	1861 1868	Dagbladet	215	2		high	se-kort+head-noun+located+place-type	
Clara Kirkegaard	1851	1851	I Sverrig	63	1		medium	located	
Coimbra	1868	1868	Et Besøg i Portugal 1866	461	1		high	se-kort+place-type	
Cádiz	1863	1863	I Spanien	334	1	Cadiz	high	se-kort	
Dalarne	1851	1851	I Sverrig	38	1		high	head-noun+place-type	
Dalkulle	1851	1851	I Sverrig	61	1		medium	located	
Dalälven	1851	1851	I Sverrig	117	1	Dal-Elven	high	se-kort	
Dannemora	1851	1851	I Sverrig	123	1		high	se-kort	
de Dødes … Mindernes by	1851	1851	I Sverrig	35	1		medium	located	
de revolutionaire Bevægelser	1868	1868	Et Besøg i Portugal 1866	424	1		medium	located+place-type	
den gamle catholske Bispegaard	1851	1851	I Sverrig	25	1		high	head-noun+place-type	
den nye Bro	1860	1860	Berlingske politiske Avertissements-Tidende	167	1		high	head-noun+place-type	
den tilfygede … Kirke	1860	1860	Folkekalender for Danmark	187	1		high	head-noun+place-type	
det blaa Taarn	1851	1851	I Sverrig	92	1		high	head-noun+place-type	
det gamle Belem	1868	1868	Et Besøg i Portugal 1866	445	1		high	head-noun+located+place-type	
det gamle Slot	1868	1868	Et Besøg i Portugal 1866	431	1		high	head-noun+place-type	
Dijon	1869	1869	For Romantik og Historie	482	1		high	head-noun+place-type	
Domkirken	1863	1863	I Spanien	258	1		high	head-noun+place-type	
Domkirken … Øiesyn	1863	1863	I Spanien	245	1		high	head-noun+place-type	
Dronningens Palais	1863	1863	I Spanien	230	1		high	head-noun+located+place-type	
Ecija	1863	1863	I Spanien	369	1		high	se-kort	
Edinburgh	1868	1868	Et Besøg i Portugal 1866	438	1		high	head-noun+located+place-type	
El Escorial	1863	1863	I Spanien	384	1	Escorial	high	se-kort+located+place-type	
Elche Murcia	1863	1863	I Spanien	256	1		high	se-kort	
Elfkarleby Fald	1851	1851	I Sverrig	117	1		high	se-kort+located+place-type	
Ellora	1851	1851	I Sverrig	26	1		high	head-noun+located+place-type	
Estrella	1868	1868	Et Besøg i Portugal 1866	461	1		high	se-kort	
et Akropolis	1868	1868	Et Besøg i Portugal 1866	445	1		high	head-noun+place-type	
Falun	1851	1851	I Sverrig	22	2	Fahlun	high	se-kort	
Figueras	1863	1863	I Spanien	223	1		high	se-kort	
Firenze	1870	1870	Breve fra og til Hans Christian Ørsted, 2. Samling	491	1	Florents	high	se-kort	
Florents	1861	1861	Dagbladet	215	1		high	se-kort	
Fluvia	1863	1863	I Spanien	224	1		high	se-kort	
Freiburg	1861	1861	Illustreret Tidende	209	1		high	se-kort+place-type	
Fyrisaa	1851	1851	I Sverrig	69	1		high	head-noun+located+place-type	
Genfersøen	1868	1868	Et Besøg i Portugal 1866	468	1		high	head-noun+place-type	
Genova	1868	1868	Et Besøg i Portugal 1866	438	1	Genua	medium	located+place-type	
Genua	1870	1870	Breve fra og til Hans Christian Ørsted, 2. Samling	490	1		high	se-kort+place-type	
Gibraltar	1863	1863	I Spanien	322	1		high	se-kort	
Goa	1868	1868	Et Besøg i Portugal 1866	438	1		high	head-noun+located+place-type	
Granada	1863	1863	I Spanien	256	1		high	se-kort	
Guadalaviar	1863	1863	I Spanien	246	1		medium	located+place-type	
Guadalmedina	1863	1863	I Spanien	323	1		high	head-noun+place-type	
Guadalmedina-Floden	1863	1863	I Spanien	279	1		high	head-noun+place-type	
Guadalquivir	1863	1863	I Spanien	353	1		high	head-noun+located+place-type	
guldførende Darro	1863	1863	I Spanien	292	1		high	head-noun+located+place-type	
Guldkroken	1851	1851	I Sverrig	37	1		high	se-kort+place-type	
Gävle	1851	1851	I Sverrig	118	1	Gefle	high	se-kort	
Halland	1851	1851	I Sverrig	13	1		high	head-noun+place-type	
Halle	1863	1863	I Spanien	286	1		high	in-register	geo-2911522
Hallein … Saltkogeriet	1851	1851	I Sverrig	124	1		high	head-noun+located+place-type	
Harzen	1851	1851	I Sverrig	124	1		medium	located	
Hedemora eller Brunnbäck	1851	1851	I Sverrig	82	1		high	se-kort	
Herregaarden	1851	1851	I Sverrig	119	1		high	head-noun+place-type	
Hjälmaren	1851	1851	I Sverrig	20	1	Hjelmaren	high	se-kort	
Husaby	1851	1851	I Sverrig	37	1		high	se-kort	
Hvidehavet	1851	1851	I Sverrig	53	1	det hvide Hav	medium	located+place-type	
Hällekis	1851	1851	I Sverrig	24	1	Hellekis	high	se-kort	
Inqvisitionsfængsler	1863	1863	I Spanien	364	1		high	head-noun+place-type	
Irun	1868	1868	Et Besøg i Portugal 1866	422	1		high	head-noun+place-type	
Jativa	1863	1863	I Spanien	250	1		high	se-kort	
José	1868	1868	Et Besøg i Portugal 1866	461	1		medium	located+place-type	
Jungfernstieg	1851	1851	I Sverrig	56	1		high	in-register+located+place-type	geo-6944304
Kalmar	1851	1851	I Sverrig	92	1	Calmar	high	se-kort	
Kalø Slot	1851	1851	I Sverrig	92	1		medium	located+place-type	
Kastaliavæld	1851	1851	I Sverrig	115	1		high	head-noun+located+place-type	
Kinne-Kleva	1851	1851	I Sverrig	26	1	Kleven	high	se-kort	
Kinnekulle	1851	1851	I Sverrig	24	1		high	se-kort	
Kirke	1851	1851	I Sverrig	94	1		high	head-noun+place-type	
Knivsholt, Flade Banker og Bangsbo	1860	1860	Folkekalender for Danmark	187	1		medium	located+place-type	
Kopparberget	1851	1851	I Sverrig	91	1		high	se-kort+head-noun+place-type	
Korsnäs	1851	1851	I Sverrig	93	1	Korsnæs	high	se-kort	
Kärna	1851	1851	I Sverrig	55	1		medium	located	
La Carolina	1863	1863	I Spanien	377	1		high	se-kort+head-noun+place-type	
La Junquera	1863	1863	I Spanien	223	1		high	se-kort	
La Torro del Oro	1863	1863	I Spanien	364	1		medium	located	
Lago Maggiore	1870	1870	Breve fra og til Hans Christian Ørsted, 2. Samling	490	1	Lago magiore	high	se-kort	geo-2659792
Lappland	1851	1851	I Sverrig	22	1	Lapland	high	head-noun+located+place-type	
Le Locle	1869	1869	For Romantik og Historie	483	1	Locle	high	se-kort+located+place-type	
Leckø gamle Slot	1851	1851	I Sverrig	25	1		high	se-kort+located	
Leksand	1851	1851	I Sverrig	85	1		high	se-kort	
Lidköping	1851	1851	I Sverrig	25	1	Lidkøping	high	se-kort	
Lima	1851	1851	I Sverrig	94	1		high	se-kort	
Linth-Canalen … Wallenstädtersøe	1858	1858	Fortællinger og Vers for Større og Mindre	153	1		high	se-kort+place-type	
Lissabon	1868	1868	Et Besøg i Portugal 1866	428	1		medium	located+place-type	
Livorno	1861	1861 1870	Dagbladet	216	2		high	in-register+se-kort	geo-3174659
Loja	1863	1863	I Spanien	290	1		high	se-kort	
Lorelei	1851	1851	I Sverrig	123	1	Lore-Ley	medium	located	
Macao	1868	1868	Et Besøg i Portugal 1866	438	1		medium	located+place-type	
Madrid	1863	1863 1868	I Spanien	251	2		high	se-kort+located+place-type	
Maidstone	1860	1860	Berlingske politiske Avertissements-Tidende	183	1		high	head-noun+located+place-type	
Manzanares	1863	1863	I Spanien	384	1		high	head-noun+place-type	
Marathons Slette	1851	1851	I Sverrig	54	1		medium	located+place-type	
Mariestad	1851	1851	I Sverrig	24	1		high	se-kort	
Marnäs	1851	1851	I Sverrig	93	1		high	se-kort	
Masanasa	1863	1863	I Spanien	224	1		medium	located+place-type	
Medinya	1863	1863	I Spanien	225	1	Medina	high	se-kort	
Mem	1851	1851	I Sverrig	51	1		high	se-kort+head-noun+located+place-type	
Mondegoflod	1868	1868	Et Besøg i Portugal 1866	461	1		high	se-kort	
Mont Serrat	1863	1863	I Spanien	240	1		high	head-noun+located+place-type	
Monte Arrabida	1868	1868	Et Besøg i Portugal 1866	445	1		high	se-kort	
Mora	1851	1851	I Sverrig	94	1		high	se-kort	
Motala	1851	1851	I Sverrig	18	1		high	se-kort	
Museet	1863	1863	I Spanien	388	1		high	in-register	place-000050
Málaga	1863	1863	I Spanien	256	1	Malaga	high	se-kort	
Mälaran	1851	1851	I Sverrig	55	1		high	se-kort	
Niagara Falls	1863	1863	I Spanien	413	1	Niagara	medium	located+place-type	
Ninive	1860	1860	Berlingske politiske Avertissements-Tidende	176	1		high	head-noun+place-type	
Njupeskärs Vandfald	1851	1851	I Sverrig	117	1		medium	located+place-type	
